,score,i,j
0,0.3194444444444444,1,5
1,0.44907407407407407,1,7
2,0.46296296296296297,1,9
3,0.5416666666666666,1,11
4,0.5555555555555556,1,13
5,0.5092592592592593,1,15
6,0.35648148148148145,1,17
7,0.6805555555555556,1,19
8,0.4305555555555556,1,21
9,0.6481481481481481,1,23
10,0.5509259259259259,1,25
11,0.5972222222222222,1,27
12,0.6342592592592593,1,29
13,0.7083333333333334,1,31
14,0.6990740740740741,1,33
15,0.6342592592592593,1,35
16,0.7129629629629629,1,37
17,0.6666666666666666,1,39
18,0.7083333333333334,1,41
19,0.75,1,43
20,0.7592592592592593,1,45
21,0.6064814814814815,1,47
22,0.49074074074074076,1,49
23,0.6851851851851852,1,51
24,0.5,1,53
25,0.7638888888888888,1,55
26,0.7592592592592593,1,57
27,0.7037037037037037,1,59
28,0.5555555555555556,2,5
29,0.4537037037037037,2,7
30,0.49537037037037035,2,9
31,0.49074074074074076,2,11
32,0.6064814814814815,2,13
33,0.6342592592592593,2,15
34,0.4212962962962963,2,17
35,0.6481481481481481,2,19
36,0.6481481481481481,2,21
37,0.6712962962962963,2,23
38,0.6712962962962963,2,25
39,0.6620370370370371,2,27
40,0.6388888888888888,2,29
41,0.7268518518518519,2,31
42,0.7824074074074074,2,33
43,0.75,2,35
44,0.7083333333333334,2,37
45,0.7268518518518519,2,39
46,0.7685185185185185,2,41
47,0.7129629629629629,2,43
48,0.8564814814814815,2,45
49,0.7870370370370371,2,47
50,0.7592592592592593,2,49
51,0.7638888888888888,2,51
52,0.6805555555555556,2,53
53,0.7407407407407407,2,55
54,0.8009259259259259,2,57
55,0.6898148148148148,2,59
56,0.4722222222222222,3,5
57,0.6944444444444444,3,7
58,0.4305555555555556,3,9
59,0.6111111111111112,3,11
60,0.6944444444444444,3,13
61,0.5925925925925926,3,15
62,0.6481481481481481,3,17
63,0.7037037037037037,3,19
64,0.6851851851851852,3,21
65,0.6574074074074074,3,23
66,0.75,3,25
67,0.7268518518518519,3,27
68,0.6620370370370371,3,29
69,0.7592592592592593,3,31
70,0.6574074074074074,3,33
71,0.7361111111111112,3,35
72,0.8101851851851852,3,37
73,0.7916666666666666,3,39
74,0.7083333333333334,3,41
75,0.7222222222222222,3,43
76,0.8194444444444444,3,45
77,0.8009259259259259,3,47
78,0.7314814814814815,3,49
79,0.8148148148148148,3,51
80,0.7870370370370371,3,53
81,0.7592592592592593,3,55
82,0.7824074074074074,3,57
83,0.8194444444444444,3,59
84,0.5879629629629629,4,5
85,0.6435185185185185,4,7
86,0.5648148148148148,4,9
87,0.6481481481481481,4,11
88,0.6990740740740741,4,13
89,0.7407407407407407,4,15
90,0.7129629629629629,4,17
91,0.7314814814814815,4,19
92,0.6898148148148148,4,21
93,0.7407407407407407,4,23
94,0.6805555555555556,4,25
95,0.6851851851851852,4,27
96,0.75,4,29
97,0.7175925925925926,4,31
98,0.7916666666666666,4,33
99,0.8101851851851852,4,35
100,0.8148148148148148,4,37
101,0.8333333333333334,4,39
102,0.7824074074074074,4,41
103,0.8472222222222222,4,43
104,0.8240740740740741,4,45
105,0.8518518518518519,4,47
106,0.8194444444444444,4,49
107,0.8101851851851852,4,51
108,0.7824074074074074,4,53
109,0.7546296296296297,4,55
110,0.8055555555555556,4,57
111,0.8101851851851852,4,59
112,0.5694444444444444,5,5
113,0.6481481481481481,5,7
114,0.5972222222222222,5,9
115,0.5925925925925926,5,11
116,0.6990740740740741,5,13
117,0.7361111111111112,5,15
118,0.75,5,17
119,0.7638888888888888,5,19
120,0.7222222222222222,5,21
121,0.7870370370370371,5,23
122,0.7824074074074074,5,25
123,0.7962962962962963,5,27
124,0.7916666666666666,5,29
125,0.8194444444444444,5,31
126,0.8101851851851852,5,33
127,0.8287037037037037,5,35
128,0.8009259259259259,5,37
129,0.7962962962962963,5,39
130,0.8055555555555556,5,41
131,0.7962962962962963,5,43
132,0.8333333333333334,5,45
133,0.8472222222222222,5,47
134,0.8611111111111112,5,49
135,0.8518518518518519,5,51
136,0.8194444444444444,5,53
137,0.8425925925925926,5,55
138,0.7685185185185185,5,57
139,0.8425925925925926,5,59
140,0.6342592592592593,6,5
141,0.7083333333333334,6,7
142,0.6759259259259259,6,9
143,0.6944444444444444,6,11
144,0.7175925925925926,6,13
145,0.7361111111111112,6,15
146,0.7129629629629629,6,17
147,0.6666666666666666,6,19
148,0.7453703703703703,6,21
149,0.7962962962962963,6,23
150,0.7870370370370371,6,25
151,0.7731481481481481,6,27
152,0.7870370370370371,6,29
153,0.8333333333333334,6,31
154,0.7916666666666666,6,33
155,0.8425925925925926,6,35
156,0.7777777777777778,6,37
157,0.8148148148148148,6,39
158,0.8379629629629629,6,41
159,0.8148148148148148,6,43
160,0.8055555555555556,6,45
161,0.8379629629629629,6,47
162,0.7962962962962963,6,49
163,0.8194444444444444,6,51
164,0.8240740740740741,6,53
165,0.8379629629629629,6,55
166,0.8425925925925926,6,57
167,0.8611111111111112,6,59
168,0.6527777777777778,7,5
169,0.6574074074074074,7,7
170,0.7222222222222222,7,9
171,0.6944444444444444,7,11
172,0.6898148148148148,7,13
173,0.7870370370370371,7,15
174,0.7268518518518519,7,17
175,0.8379629629629629,7,19
176,0.8055555555555556,7,21
177,0.7638888888888888,7,23
178,0.8194444444444444,7,25
179,0.7870370370370371,7,27
180,0.8009259259259259,7,29
181,0.7962962962962963,7,31
182,0.8425925925925926,7,33
183,0.8518518518518519,7,35
184,0.8194444444444444,7,37
185,0.8379629629629629,7,39
186,0.8518518518518519,7,41
187,0.8287037037037037,7,43
188,0.8333333333333334,7,45
189,0.8287037037037037,7,47
190,0.8564814814814815,7,49
191,0.8333333333333334,7,51
192,0.8472222222222222,7,53
193,0.8055555555555556,7,55
194,0.8564814814814815,7,57
195,0.8472222222222222,7,59
196,0.5416666666666666,8,5
197,0.625,8,7
198,0.7129629629629629,8,9
199,0.7361111111111112,8,11
200,0.7407407407407407,8,13
201,0.7824074074074074,8,15
202,0.7407407407407407,8,17
203,0.8194444444444444,8,19
204,0.7546296296296297,8,21
205,0.7777777777777778,8,23
206,0.8055555555555556,8,25
207,0.8287037037037037,8,27
208,0.8240740740740741,8,29
209,0.8148148148148148,8,31
210,0.8425925925925926,8,33
211,0.7916666666666666,8,35
212,0.8425925925925926,8,37
213,0.8101851851851852,8,39
214,0.8287037037037037,8,41
215,0.8194444444444444,8,43
216,0.8472222222222222,8,45
217,0.8194444444444444,8,47
218,0.8148148148148148,8,49
219,0.8657407407407407,8,51
220,0.8472222222222222,8,53
221,0.8379629629629629,8,55
222,0.8564814814814815,8,57
223,0.8518518518518519,8,59
224,0.6712962962962963,9,5
225,0.7129629629629629,9,7
226,0.6851851851851852,9,9
227,0.7453703703703703,9,11
228,0.7546296296296297,9,13
229,0.7824074074074074,9,15
230,0.7916666666666666,9,17
231,0.8333333333333334,9,19
232,0.7962962962962963,9,21
233,0.8055555555555556,9,23
234,0.8148148148148148,9,25
235,0.8055555555555556,9,27
236,0.7962962962962963,9,29
237,0.8379629629629629,9,31
238,0.8333333333333334,9,33
239,0.8379629629629629,9,35
240,0.8425925925925926,9,37
241,0.8472222222222222,9,39
242,0.8194444444444444,9,41
243,0.8472222222222222,9,43
244,0.8611111111111112,9,45
245,0.8518518518518519,9,47
246,0.8425925925925926,9,49
247,0.8425925925925926,9,51
248,0.8518518518518519,9,53
249,0.8564814814814815,9,55
250,0.8333333333333334,9,57
251,0.8240740740740741,9,59
252,0.6203703703703703,10,5
253,0.7268518518518519,10,7
254,0.6990740740740741,10,9
255,0.7268518518518519,10,11
256,0.7638888888888888,10,13
257,0.7824074074074074,10,15
258,0.8055555555555556,10,17
259,0.7407407407407407,10,19
260,0.7962962962962963,10,21
261,0.8240740740740741,10,23
262,0.8148148148148148,10,25
263,0.8379629629629629,10,27
264,0.8472222222222222,10,29
265,0.8148148148148148,10,31
266,0.8518518518518519,10,33
267,0.8333333333333334,10,35
268,0.8518518518518519,10,37
269,0.8333333333333334,10,39
270,0.8379629629629629,10,41
271,0.8425925925925926,10,43
272,0.8703703703703703,10,45
273,0.8333333333333334,10,47
274,0.8472222222222222,10,49
275,0.8287037037037037,10,51
276,0.8518518518518519,10,53
277,0.8425925925925926,10,55
278,0.8564814814814815,10,57
279,0.8240740740740741,10,59
280,0.6388888888888888,11,5
281,0.6712962962962963,11,7
282,0.6805555555555556,11,9
283,0.7453703703703703,11,11
284,0.7592592592592593,11,13
285,0.7824074074074074,11,15
286,0.8101851851851852,11,17
287,0.8055555555555556,11,19
288,0.7777777777777778,11,21
289,0.7916666666666666,11,23
290,0.8148148148148148,11,25
291,0.8425925925925926,11,27
292,0.8240740740740741,11,29
293,0.8287037037037037,11,31
294,0.8240740740740741,11,33
295,0.8287037037037037,11,35
296,0.8333333333333334,11,37
297,0.8379629629629629,11,39
298,0.8611111111111112,11,41
299,0.8194444444444444,11,43
300,0.8472222222222222,11,45
301,0.8240740740740741,11,47
302,0.8425925925925926,11,49
303,0.8472222222222222,11,51
304,0.8611111111111112,11,53
305,0.8518518518518519,11,55
306,0.8425925925925926,11,57
307,0.8472222222222222,11,59
308,0.6111111111111112,12,5
309,0.7268518518518519,12,7
310,0.7824074074074074,12,9
311,0.7824074074074074,12,11
312,0.7685185185185185,12,13
313,0.7777777777777778,12,15
314,0.8287037037037037,12,17
315,0.8379629629629629,12,19
316,0.8287037037037037,12,21
317,0.8333333333333334,12,23
318,0.8287037037037037,12,25
319,0.8101851851851852,12,27
320,0.8425925925925926,12,29
321,0.8472222222222222,12,31
322,0.8564814814814815,12,33
323,0.8425925925925926,12,35
324,0.8657407407407407,12,37
325,0.8564814814814815,12,39
326,0.8564814814814815,12,41
327,0.8055555555555556,12,43
328,0.8472222222222222,12,45
329,0.8472222222222222,12,47
330,0.8379629629629629,12,49
331,0.8425925925925926,12,51
332,0.8564814814814815,12,53
333,0.8518518518518519,12,55
334,0.8703703703703703,12,57
335,0.8564814814814815,12,59
336,0.24537037037037038,1,5
337,0.5740740740740741,1,7
338,0.35185185185185186,1,9
339,0.5740740740740741,1,11
340,0.4074074074074074,1,13
341,0.7037037037037037,1,15
342,0.5972222222222222,1,17
343,0.5879629629629629,1,19
344,0.7222222222222222,1,21
345,0.39814814814814814,1,23
346,0.6990740740740741,1,25
347,0.625,1,27
348,0.6712962962962963,1,29
349,0.6898148148148148,1,31
350,0.6342592592592593,1,33
351,0.5972222222222222,1,35
352,0.7129629629629629,1,37
353,0.6851851851851852,1,39
354,0.6296296296296297,1,41
355,0.4351851851851852,1,43
356,0.7083333333333334,1,45
357,0.3055555555555556,1,47
358,0.7407407407407407,1,49
359,0.7731481481481481,1,51
360,0.7407407407407407,1,53
361,0.7638888888888888,1,55
362,0.7962962962962963,1,57
363,0.7592592592592593,1,59
364,0.46296296296296297,2,5
365,0.5324074074074074,2,7
366,0.4537037037037037,2,9
367,0.6064814814814815,2,11
368,0.5879629629629629,2,13
369,0.6018518518518519,2,15
370,0.6435185185185185,2,17
371,0.6759259259259259,2,19
372,0.6388888888888888,2,21
373,0.6990740740740741,2,23
374,0.6342592592592593,2,25
375,0.7592592592592593,2,27
376,0.5138888888888888,2,29
377,0.7361111111111112,2,31
378,0.6527777777777778,2,33
379,0.7638888888888888,2,35
380,0.7824074074074074,2,37
381,0.7453703703703703,2,39
382,0.7962962962962963,2,41
383,0.8148148148148148,2,43
384,0.7962962962962963,2,45
385,0.7870370370370371,2,47
386,0.7777777777777778,2,49
387,0.8148148148148148,2,51
388,0.8657407407407407,2,53
389,0.6481481481481481,2,55
390,0.6759259259259259,2,57
391,0.7083333333333334,2,59
392,0.6759259259259259,3,5
393,0.6944444444444444,3,7
394,0.5787037037037037,3,9
395,0.6712962962962963,3,11
396,0.6527777777777778,3,13
397,0.6666666666666666,3,15
398,0.7129629629629629,3,17
399,0.5833333333333334,3,19
400,0.7314814814814815,3,21
401,0.7314814814814815,3,23
402,0.7777777777777778,3,25
403,0.8240740740740741,3,27
404,0.8101851851851852,3,29
405,0.7222222222222222,3,31
406,0.8518518518518519,3,33
407,0.7685185185185185,3,35
408,0.7222222222222222,3,37
409,0.8194444444444444,3,39
410,0.7824074074074074,3,41
411,0.6898148148148148,3,43
412,0.7962962962962963,3,45
413,0.8472222222222222,3,47
414,0.8148148148148148,3,49
415,0.8333333333333334,3,51
416,0.6944444444444444,3,53
417,0.8240740740740741,3,55
418,0.8379629629629629,3,57
419,0.8564814814814815,3,59
420,0.5879629629629629,4,5
421,0.5462962962962963,4,7
422,0.5879629629629629,4,9
423,0.6944444444444444,4,11
424,0.7037037037037037,4,13
425,0.7962962962962963,4,15
426,0.7453703703703703,4,17
427,0.7314814814814815,4,19
428,0.75,4,21
429,0.7870370370370371,4,23
