,score,i,j
0,0.41203703703703703,1,5
1,0.6944444444444444,1,10
2,0.6851851851851852,1,15
3,0.7824074074074074,1,20
4,0.8333333333333334,1,25
5,0.8611111111111112,1,30
6,0.8101851851851852,1,35
7,0.7962962962962963,1,40
8,0.8425925925925926,1,45
9,0.9027777777777778,1,50
10,0.8981481481481481,1,55
11,0.42592592592592593,2,5
12,0.6990740740740741,2,10
13,0.8657407407407407,2,15
14,0.7685185185185185,2,20
15,0.8888888888888888,2,25
16,0.7962962962962963,2,30
17,0.7361111111111112,2,35
18,0.9120370370370371,2,40
19,0.7407407407407407,2,45
20,0.9351851851851852,2,50
21,0.6990740740740741,2,55
22,0.7731481481481481,3,5
23,0.8703703703703703,3,10
24,0.7407407407407407,3,15
25,0.8981481481481481,3,20
26,0.8379629629629629,3,25
27,0.7916666666666666,3,30
28,0.8981481481481481,3,35
29,0.9120370370370371,3,40
30,0.7407407407407407,3,45
31,0.7777777777777778,3,50
32,0.9074074074074074,3,55
33,0.7037037037037037,4,5
34,0.75,4,10
35,0.8703703703703703,4,15
36,0.8379629629629629,4,20
37,0.8935185185185185,4,25
38,0.7962962962962963,4,30
39,0.75,4,35
40,0.8101851851851852,4,40
41,0.9074074074074074,4,45
42,0.8333333333333334,4,50
43,0.8888888888888888,4,55
44,0.8425925925925926,5,5
45,0.7361111111111112,5,10
46,0.9120370370370371,5,15
47,0.8611111111111112,5,20
48,0.8425925925925926,5,25
49,0.8379629629629629,5,30
50,0.9212962962962963,5,35
51,0.8194444444444444,5,40
52,0.8333333333333334,5,45
53,0.8425925925925926,5,50
54,0.8842592592592593,5,55
55,0.8611111111111112,6,5
56,0.8981481481481481,6,10
57,0.8194444444444444,6,15
58,0.8194444444444444,6,20
59,0.8148148148148148,6,25
60,0.8518518518518519,6,30
61,0.7870370370370371,6,35
62,0.8564814814814815,6,40
63,0.8194444444444444,6,45
64,0.8888888888888888,6,50
65,0.8379629629629629,6,55
66,0.7962962962962963,7,5
67,0.8611111111111112,7,10
68,0.9027777777777778,7,15
69,0.8287037037037037,7,20
70,0.7129629629629629,7,25
71,0.8564814814814815,7,30
72,0.8055555555555556,7,35
73,0.8796296296296297,7,40
74,0.8240740740740741,7,45
75,0.8287037037037037,7,50
76,0.8703703703703703,7,55
77,0.7824074074074074,8,5
78,0.9074074074074074,8,10
79,0.8518518518518519,8,15
80,0.7962962962962963,8,20
81,0.8101851851851852,8,25
82,0.8194444444444444,8,30
83,0.8472222222222222,8,35
84,0.8564814814814815,8,40
85,0.8055555555555556,8,45
86,0.8101851851851852,8,50
87,0.8888888888888888,8,55
88,0.7916666666666666,9,5
89,0.8611111111111112,9,10
90,0.8148148148148148,9,15
91,0.8333333333333334,9,20
92,0.8842592592592593,9,25
93,0.8657407407407407,9,30
94,0.8333333333333334,9,35
95,0.8518518518518519,9,40
96,0.8611111111111112,9,45
97,0.8518518518518519,9,50
98,0.8287037037037037,9,55
99,0.8148148148148148,10,5
100,0.8055555555555556,10,10
101,0.8657407407407407,10,15
102,0.7824074074074074,10,20
103,0.8657407407407407,10,25
104,0.8333333333333334,10,30
105,0.8657407407407407,10,35
106,0.8888888888888888,10,40
107,0.8333333333333334,10,45
108,0.8472222222222222,10,50
109,0.8703703703703703,10,55
110,0.7731481481481481,11,5
111,0.8379629629629629,11,10
112,0.8657407407407407,11,15
113,0.8148148148148148,11,20
114,0.8796296296296297,11,25
115,0.8518518518518519,11,30
116,0.8564814814814815,11,35
117,0.8333333333333334,11,40
118,0.875,11,45
119,0.8703703703703703,11,50
120,0.8611111111111112,11,55
121,0.875,12,5
122,0.8518518518518519,12,10
123,0.8703703703703703,12,15
124,0.8796296296296297,12,20
125,0.8194444444444444,12,25
126,0.8564814814814815,12,30
127,0.8564814814814815,12,35
128,0.8564814814814815,12,40
129,0.875,12,45
130,0.8472222222222222,12,50
131,0.875,12,55
132,0.3101851851851852,1,5
133,0.5879629629629629,1,10
134,0.7777777777777778,1,15
135,0.8194444444444444,1,20
136,0.8148148148148148,1,25
137,0.8425925925925926,1,30
138,0.8379629629629629,1,35
139,0.7592592592592593,1,40
140,0.8333333333333334,1,45
141,0.7638888888888888,1,50
142,0.8472222222222222,1,55
143,0.6851851851851852,2,5
144,0.6712962962962963,2,10
145,0.8842592592592593,2,15
146,0.7407407407407407,2,20
147,0.8657407407407407,2,25
148,0.8796296296296297,2,30
149,0.8842592592592593,2,35
150,0.8194444444444444,2,40
151,0.7314814814814815,2,45
152,0.6944444444444444,2,50
153,0.8842592592592593,2,55
154,0.7546296296296297,3,5
155,0.8518518518518519,3,10
156,0.8703703703703703,3,15
157,0.7916666666666666,3,20
158,0.7453703703703703,3,25
159,0.8148148148148148,3,30
160,0.8888888888888888,3,35
161,0.8287037037037037,3,40
162,0.8981481481481481,3,45
163,0.8657407407407407,3,50
164,0.8703703703703703,3,55
165,0.8287037037037037,4,5
166,0.8240740740740741,4,10
167,0.7453703703703703,4,15
168,0.8148148148148148,4,20
169,0.8981481481481481,4,25
170,0.7824074074074074,4,30
171,0.7916666666666666,4,35
172,0.8425925925925926,4,40
173,0.9074074074074074,4,45
174,0.8935185185185185,4,50
175,0.7314814814814815,4,55
176,0.6851851851851852,5,5
177,0.875,5,10
178,0.8055555555555556,5,15
179,0.8379629629629629,5,20
180,0.8842592592592593,5,25
181,0.9027777777777778,5,30
182,0.8657407407407407,5,35
183,0.8518518518518519,5,40
184,0.8564814814814815,5,45
185,0.8240740740740741,5,50
186,0.8611111111111112,5,55
187,0.8194444444444444,6,5
188,0.8888888888888888,6,10
189,0.8611111111111112,6,15
190,0.7777777777777778,6,20
191,0.8796296296296297,6,25
192,0.7777777777777778,6,30
193,0.8240740740740741,6,35
194,0.8333333333333334,6,40
195,0.8842592592592593,6,45
196,0.8194444444444444,6,50
197,0.8009259259259259,6,55
198,0.8564814814814815,7,5
199,0.8796296296296297,7,10
200,0.8287037037037037,7,15
201,0.8333333333333334,7,20
202,0.8472222222222222,7,25
203,0.8611111111111112,7,30
204,0.8055555555555556,7,35
205,0.8101851851851852,7,40
206,0.7870370370370371,7,45
207,0.8287037037037037,7,50
208,0.7870370370370371,7,55
209,0.7546296296296297,8,5
210,0.8703703703703703,8,10
211,0.8935185185185185,8,15
212,0.8657407407407407,8,20
213,0.8425925925925926,8,25
214,0.7731481481481481,8,30
215,0.8287037037037037,8,35
216,0.8703703703703703,8,40
217,0.8379629629629629,8,45
218,0.8101851851851852,8,50
219,0.8055555555555556,8,55
220,0.8379629629629629,9,5
221,0.8935185185185185,9,10
222,0.875,9,15
223,0.8101851851851852,9,20
224,0.8611111111111112,9,25
225,0.8055555555555556,9,30
226,0.8240740740740741,9,35
227,0.8287037037037037,9,40
228,0.8518518518518519,9,45
229,0.8333333333333334,9,50
230,0.8935185185185185,9,55
231,0.8101851851851852,10,5
232,0.8425925925925926,10,10
233,0.8564814814814815,10,15
234,0.8101851851851852,10,20
235,0.8842592592592593,10,25
236,0.8287037037037037,10,30
237,0.8518518518518519,10,35
238,0.8657407407407407,10,40
239,0.8379629629629629,10,45
240,0.8981481481481481,10,50
241,0.8796296296296297,10,55
242,0.8842592592592593,11,5
243,0.8888888888888888,11,10
244,0.875,11,15
245,0.8194444444444444,11,20
246,0.8472222222222222,11,25
247,0.8425925925925926,11,30
248,0.8518518518518519,11,35
249,0.8472222222222222,11,40
250,0.8101851851851852,11,45
251,0.8287037037037037,11,50
252,0.8888888888888888,11,55
253,0.8333333333333334,12,5
254,0.8425925925925926,12,10
255,0.8240740740740741,12,15
256,0.7916666666666666,12,20
257,0.8055555555555556,12,25
258,0.8564814814814815,12,30
259,0.8518518518518519,12,35
260,0.8657407407407407,12,40
261,0.8425925925925926,12,45
262,0.8472222222222222,12,50
263,0.8472222222222222,12,55
264,0.5879629629629629,1,5
265,0.6805555555555556,1,10
266,0.8148148148148148,1,15
267,0.8148148148148148,1,20
268,0.6898148148148148,1,25
269,0.5879629629629629,1,30
270,0.9027777777777778,1,35
271,0.9212962962962963,1,40
272,0.8935185185185185,1,45
273,0.9212962962962963,1,50
274,0.8935185185185185,1,55
275,0.6712962962962963,2,5
276,0.6064814814814815,2,10
277,0.7037037037037037,2,15
278,0.9166666666666666,2,20
279,0.9027777777777778,2,25
280,0.8101851851851852,2,30
281,0.7731481481481481,2,35
282,0.8657407407407407,2,40
283,0.8842592592592593,2,45
284,0.9027777777777778,2,50
285,0.9305555555555556,2,55
286,0.6759259259259259,3,5
287,0.7685185185185185,3,10
288,0.9074074074074074,3,15
289,0.8611111111111112,3,20
290,0.9212962962962963,3,25
291,0.9074074074074074,3,30
292,0.8842592592592593,3,35
293,0.7638888888888888,3,40
294,0.7638888888888888,3,45
295,0.9444444444444444,3,50
296,0.8101851851851852,3,55
297,0.7731481481481481,4,5
298,0.8935185185185185,4,10
299,0.8703703703703703,4,15
300,0.7962962962962963,4,20
301,0.8657407407407407,4,25
302,0.8379629629629629,4,30
303,0.9212962962962963,4,35
304,0.9027777777777778,4,40
305,0.9398148148148148,4,45
306,0.8935185185185185,4,50
307,0.9027777777777778,4,55
308,0.8009259259259259,5,5
309,0.8564814814814815,5,10
310,0.8240740740740741,5,15
311,0.8148148148148148,5,20
312,0.8564814814814815,5,25
313,0.8935185185185185,5,30
314,0.8842592592592593,5,35
315,0.8981481481481481,5,40
316,0.9120370370370371,5,45
317,0.8842592592592593,5,50
318,0.9351851851851852,5,55
319,0.7037037037037037,6,5
320,0.7962962962962963,6,10
321,0.7916666666666666,6,15
322,0.8564814814814815,6,20
323,0.8148148148148148,6,25
324,0.875,6,30
325,0.8333333333333334,6,35
326,0.8981481481481481,6,40
327,0.8611111111111112,6,45
328,0.9351851851851852,6,50
329,0.9074074074074074,6,55
330,0.8703703703703703,7,5
331,0.7731481481481481,7,10
332,0.8935185185185185,7,15
333,0.8425925925925926,7,20
334,0.9027777777777778,7,25
335,0.8796296296296297,7,30
336,0.8888888888888888,7,35
337,0.8564814814814815,7,40
338,0.9212962962962963,7,45
339,0.8981481481481481,7,50
340,0.8518518518518519,7,55
341,0.9027777777777778,8,5
342,0.875,8,10
343,0.9120370370370371,8,15
