,score,extract,type
0,0.896551724137931,tchai,same
1,0.7525773195876289,tchai,other
2,0.8214285714285714,sibelius,same
3,0.5846153846153846,sibelius,other
4,0.9642857142857143,bach,same
5,0.6820512820512821,bach,other
6,0.8620689655172413,mozart,same
7,0.5824742268041238,mozart,other
8,0.896551724137931,glazounov,same
9,0.7731958762886598,glazounov,other
10,0.7567567567567568,free,same
11,0.7311827956989247,free,other
12,0.7906976744186046,gamme,same
13,0.7555555555555555,gamme,other
14,0.8565022421524664,Mix,same
15,,Mix,other
16,0.9310344827586207,tchai,same
17,0.8505154639175257,tchai,other
18,0.8888888888888888,sibelius,same
19,0.6938775510204082,sibelius,other
20,0.8928571428571429,bach,same
21,0.6102564102564103,bach,other
22,0.896551724137931,mozart,same
23,0.6597938144329897,mozart,other
24,0.9310344827586207,glazounov,same
25,0.7525773195876289,glazounov,other
26,0.7837837837837838,free,same
27,0.8118279569892473,free,other
28,1.0,gamme,same
29,0.8044692737430168,gamme,other
30,0.7802690582959642,Mix,same
31,,Mix,other
32,0.9310344827586207,tchai,same
33,0.5876288659793815,tchai,other
34,0.8571428571428571,sibelius,same
35,0.5846153846153846,sibelius,other
36,0.8214285714285714,bach,same
37,0.6205128205128205,bach,other
38,0.6551724137931034,mozart,same
39,0.6443298969072165,mozart,other
40,0.9310344827586207,glazounov,same
41,0.7783505154639175,glazounov,other
42,0.6216216216216216,free,same
43,0.6935483870967742,free,other
44,0.813953488372093,gamme,same
45,0.6888888888888889,gamme,other
46,0.8430493273542601,Mix,same
47,,Mix,other
48,0.8275862068965517,tchai,same
49,0.634020618556701,tchai,other
50,0.8888888888888888,sibelius,same
51,0.6479591836734694,sibelius,other
52,0.8571428571428571,bach,same
53,0.5794871794871795,bach,other
54,0.7931034482758621,mozart,same
55,0.5927835051546392,mozart,other
56,0.9310344827586207,glazounov,same
57,0.6958762886597938,glazounov,other
58,0.6216216216216216,free,same
59,0.6720430107526881,free,other
60,0.8409090909090909,gamme,same
61,0.7094972067039106,gamme,other
62,0.7488789237668162,Mix,same
63,,Mix,other
64,0.8275862068965517,tchai,same
65,0.6855670103092784,tchai,other
66,0.9259259259259259,sibelius,same
67,0.6581632653061225,sibelius,other
68,0.9642857142857143,bach,same
69,0.6564102564102564,bach,other
70,0.8275862068965517,mozart,same
71,0.520618556701031,mozart,other
72,0.9310344827586207,glazounov,same
73,0.6907216494845361,glazounov,other
74,0.6216216216216216,free,same
75,0.7473118279569892,free,other
76,0.8863636363636364,gamme,same
77,0.7821229050279329,gamme,other
78,0.8834080717488789,Mix,same
79,,Mix,other
80,0.9655172413793104,tchai,same
81,0.7525773195876289,tchai,other
82,0.7857142857142857,sibelius,same
83,0.7333333333333333,sibelius,other
84,1.0,bach,same
85,0.6923076923076923,bach,other
86,0.8620689655172413,mozart,same
87,0.5618556701030928,mozart,other
88,1.0,glazounov,same
89,0.7371134020618557,glazounov,other
90,0.6756756756756757,free,same
91,0.7473118279569892,free,other
92,0.9302325581395349,gamme,same
93,0.7666666666666667,gamme,other
94,0.8654708520179372,Mix,same
95,,Mix,other
96,0.8275862068965517,tchai,same
97,0.6443298969072165,tchai,other
98,0.8148148148148148,sibelius,same
99,0.6989795918367347,sibelius,other
100,0.9285714285714286,bach,same
101,0.7076923076923077,bach,other
102,0.6896551724137931,mozart,same
103,0.6030927835051546,mozart,other
104,0.8275862068965517,glazounov,same
105,0.6030927835051546,glazounov,other
106,0.5675675675675675,free,same
107,0.6720430107526881,free,other
108,0.7954545454545454,gamme,same
109,0.659217877094972,gamme,other
110,0.7757847533632287,Mix,same
111,,Mix,other
112,0.9655172413793104,tchai,same
113,0.8556701030927835,tchai,other
114,0.8518518518518519,sibelius,same
115,0.6479591836734694,sibelius,other
116,0.9285714285714286,bach,same
117,0.7282051282051282,bach,other
118,0.7931034482758621,mozart,same
119,0.654639175257732,mozart,other
120,0.9310344827586207,glazounov,same
121,0.7577319587628866,glazounov,other
122,0.7837837837837838,free,same
123,0.6397849462365591,free,other
124,0.8636363636363636,gamme,same
125,0.8379888268156425,gamme,other
126,0.8878923766816144,Mix,same
127,,Mix,other
128,0.896551724137931,tchai,same
129,0.6391752577319587,tchai,other
130,0.7142857142857143,sibelius,same
131,0.4461538461538462,sibelius,other
132,0.8928571428571429,bach,same
133,0.5333333333333333,bach,other
134,0.896551724137931,mozart,same
135,0.6597938144329897,mozart,other
136,0.9310344827586207,glazounov,same
137,0.5824742268041238,glazounov,other
138,0.7297297297297297,free,same
139,0.7096774193548387,free,other
140,0.8604651162790697,gamme,same
141,0.7444444444444445,gamme,other
142,0.7757847533632287,Mix,same
143,,Mix,other
144,0.9310344827586207,tchai,same
145,0.7783505154639175,tchai,other
146,0.8148148148148148,sibelius,same
147,0.6479591836734694,sibelius,other
148,0.8928571428571429,bach,same
